2025-08-25 18:08:00,310 | INFO     | image_processing_api | add_request_id:177 | Request 54916133 started: POST http://ed72b6e851e8.ngrok-free.app/process-images | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:177
2025-08-25 18:08:02,801 | INFO     | image_processing_api | process_images:872 | Request 54916133: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:872
2025-08-25 18:08:02,801 | INFO     | image_processing_api | process_images:880 | Request 54916133: File size: 9553151 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:880
2025-08-25 18:08:02,802 | DEBUG    | image_processing_api | process_images:886 | Request 54916133: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphz5wjr6o | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:886
2025-08-25 18:08:02,803 | DEBUG    | image_processing_api | process_images:890 | Request 54916133: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphz5wjr6o/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:890
2025-08-25 18:08:02,815 | INFO     | image_processing_api | process_images:895 | Request 54916133: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:895
2025-08-25 18:08:02,815 | INFO     | image_processing_api | process_zip_file:694 | Starting zip file processing: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphz5wjr6o/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:694
2025-08-25 18:08:02,815 | DEBUG    | image_processing_api | process_zip_file:698 | Extracting zip file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphz5wjr6o | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:698
2025-08-25 18:08:02,828 | INFO     | image_processing_api | process_zip_file:702 | Successfully extracted zip file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphz5wjr6o | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:702
2025-08-25 18:08:02,828 | DEBUG    | image_processing_api | process_zip_file:711 | Extracted 3 files from zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:711
2025-08-25 18:08:02,828 | DEBUG    | image_processing_api | process_zip_file:712 | Extracted 0 directories from zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:712
