2025-08-26 19:58:16,766 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 19:58:16,775 | INFO     | process_images:65 | Request unknown: File size: 9553151 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 19:58:16,789 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpcugy8x1z | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 19:58:16,792 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpcugy8x1z/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 19:58:16,808 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 19:58:22,518 | INFO     | process_images:87 | Request unknown: Processing completed in 5.708s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 19:58:22,529 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 19:58:22,530 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 19:58:54,204 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 19:58:54,206 | INFO     | process_images:65 | Request unknown: File size: 52320743 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 19:58:54,208 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp6xkek9qe | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 19:58:54,208 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp6xkek9qe/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 19:58:54,284 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 19:59:01,050 | INFO     | process_images:87 | Request unknown: Processing completed in 6.765s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
